Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
PD,5292,FIXORMON,10
PD,5574,LUMAKIDIN 5G,170
PD,5796,GARLON,2
PD,6136,GERMON L,62
PD,6321,,21
PD,6322,,12
PD,6322,OBSTHORMON 24A,2
PD,6437,ETHREL,26
PD,6555,K-OBIOL ULV 6,21380.3
PD,6556,,47
PD,6556,K-OBIOL DP2,67
PD,6557,,4
PD,6557,K-OBIOL EC 25,5286.64
PD,6771,,1015
PD,6873,,10
PD,6873,IDRORAME 193,970
PD,6945,,38
PD,6945,TOPAS 10 EC,184
PD,6956,TARGA FLO,41
PD,7020,BAGNANTE CIFO,131
PD,7053,PASTA CAFFARO NC,633
PD,7055,PASTA CAFFARO BLU,99.5
PD,7368,TURFENE L,55
PD,7379,,18.5
PD,7379,VENZAR,28.5
PD,7401,POLTIGLIA CAFFARO 20 DF NEW,31
PD,7483,,36
PD,7483,DEVRINOL F,65
PD,7530,BIOLID E,6
PD,7534,ROYAL MH,20
PD,7541,APOLLO SC,1
PD,7541,APOLLO SC 50 ml,0.5
PD,7644,TENSIL,898
PD,7700,,30.6
PD,7700,MATACAR FL,25
PD,7736,,125
PD,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,6825
PD,7737,,325
PD,7764,,20
PD,7764,TIOLENE,130
PD,7876,,3
PD,7911,AIRONE EXTRA,110
PD,7916,,3439
PD,7916,POLYRAM DF,10038
PD,7919,,4700
PD,7919,TOUCHDOWN,4214
PD,7922,OPALENE FLUID,57
PD,7930,,393
PD,7930,KERB FLO,620
PD,7961,,9
PD,8023,SUMIALFA ECHO,194
PD,8028,,511
PD,8102,,643
PD,8102,MERPAN 80 WDG,2270
PD,8139,MANTA GOLD,21
PD,8146,,71.5
PD,8146,GALLERY,91
PD,8184,,269
PD,8184,CHALLENGE,761
PD,8189,,5780
PD,8189,LEBRON 0.5 G,330
PD,8229,BOLAS SC,12
PD,8259,,25
PD,8259,LAMDEX EXTRA,1204
PD,8376,,384
PD,8376,ARIANE II,330
PD,8498,,24
PD,8498,FOLICUR WG,323.5
PD,8542,FORUM 50 WP,36
PD,8546,,58
PD,8546,DANITRON,11
PD,8558,PIRETRO VERDE,37
PD,8581,,36
PD,8581,FOLIANE SC,41
PD,8599,,508
PD,8601,,304
PD,8601,FOLPAN 80 WDG,15007
PD,8617,,15
PD,8617,BANVEL 480 S,53
PD,8656,GLIFENE HP,40
PD,8706,,8
PD,8706,AMID THIN W,14
PD,8712,,3
PD,8712,ALLEGANTE 4% AF 96,3
PD,8735,,410
PD,8735,TREBON UP,720
PD,8795,,10
PD,8795,VERTIMEC EC,47.75
PD,8801,,27.75
PD,8801,SCORE 25 EC,434.5
PD,8836,,8
PD,8836,MIMIC,68
PD,8837,GERMON BEWURZELUNGSPUDER PER TALEE ,0.5
PD,8838,,2
PD,8874,,446
PD,8874,ETOFUM - FL,68
PD,8886,,203.76
PD,8886,SAFARI,16.32
PD,8888,PRIDE ULTRA,3
PD,8899,ZOLFO VENTILATO RAMATO 5%,550
PD,8929,,22
PD,8929,TOPIK 240 EC,269.5
PD,8933,SOLEAS,5
PD,8934,,10
PD,8934,SCALA,47.5
PD,8937,SHIRUDO,4
PD,9005,,759
PD,9005,AGIL,2381
PD,9012,CUPROCAFFARO MICRO,1634
PD,9041,,21580
PD,9061,,14
PD,9061,PANTOPUR MC,22
PD,9210,,11
PD,9210,QUADRIS,704
PD,9244,,480
PD,9244,ZIRAMIT 76 WG,720
PD,9267,ROYALTAC N,20
PD,9306,PROPLANT,20
PD,9373,,18
PD,9373,CHORUS,41
PD,9411,,6
PD,9422,,312
PD,9422,EVADE,981.5
PD,9422,EVADE 1 L,19
PD,9448,RIFLE 3-18 R BLU,426
PD,9449,EMERALD COMBI,16
PD,9509,PROMALIN NT,21
PD,9569,ZETARAM 3B FL,414
PD,9575,,25
PD,9575,DRIBBLING 240 EC,10
PD,9578,,154
PD,9578,SWITCH,806.25
PD,9599,,10
PD,9599,CAPITOL,270
PD,9612,OSSICLOR 30,7
PD,9627,SOLUTION 20 DISPERSS,2830
PD,9631,METRIN EC,31
PD,9679,,8
PD,9679,KRISTAL 32 WG,218
PD,9695,,3
PD,9705,,69
PD,9705,PREVITER,75
PD,9723,,170
PD,9723,DE-SPROUT N,160
PD,9724,TIOWETTING DF,4159
PD,9757,,95
PD,9757,SPYRALE,96
PD,9790,,147
PD,9790,CONTATTO 320,35
PD,9800,,179.2
PD,9800,MAVRIK SMART,715.05
PD,9809,MALVIN 80 WG,1
PD,9843,,402
