"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;10423;LUMACHICIDA VEBI;1,75
PD;10423;LUMACHICIDA VEBI PFnPE;74,00
PD;10439;;19,00
PD;10439;SPRAY DUNGER GLOBAL;5,00
PD;10440;EXPANDER;162,00
PD;10456;KLARO ULTRA;12,00
PD;10456;KLARO ULTRA PFnPE;22,50
PD;10461;;156,50
PD;10461;DICOTURF;16,50
PD;10461;DICOTURF PFnPE;147,00
PD;10461;DICOTURF PFnPE 500 ml;100,00
PD;10479;;133,00
PD;10479;NATURALIS;11,00
PD;10560;PIRETRO NATURA;32,00
PD;10573;;110,00
PD;10573;KOCIDE 2000;3.500,00
PD;10577;;941,50
PD;10577;METRIPHAR 70 WG;1,00
PD;10585;;201,00
PD;10585;SULCOTREK;2.269,00
PD;10588;;12,00
PD;10589;FLORA VERDE;19,00
PD;10589;FLORA VERDE PFnPE;4,60
PD;10604;;360,35
PD;10604;EMERALD 40 EW;605,93
PD;10604;EMERALD 40 EW 1 L;1,00
PD;10604;EMERALD 40 EW PFnPE;135,15
PD;10604;EMERALD 40 EW PFnPE 250 ml;12,75
PD;10604;EMERALD 40 EW PFnPE 50 ml;1,05
PD;10627;FRUPICA;10,00
PD;10628;MIDAURIL MZ;1,00
PD;10632;;5,00
PD;10632;COBRE NORDOX SUPER 75 WG;291,00
PD;10647;;21,00
PD;10701;;51,50
PD;10701;CUMETA FLOW;1.710,50
PD;10701;CUMETA FLOW PFnPE;120,50
PD;10734;;765,00
PD;10734;DUAL GOLD;3.457,00
PD;10735;;766,00
PD;10735;PRIMAGRAM GOLD;4.417,00
PD;10741;;913,00
PD;10741;METACINQUE PFnPE;1.849,00
PD;10752;;47,25
PD;10752;STEWARD;107,25
PD;10771;;1.287,00
PD;10771;MOST MICRO;1.480,00
PD;10839;LUMAKIDIN ESCA PFnPO;79,00
PD;10864;KOLFLOR GIARDINO LUMACHICIDA PFnPO;85,00
PD;10890;;40,00
PD;10890;FLiPPER;160,00
PD;10926;;4,00
PD;10926;ALTOREX;14,00
PD;10929;;5,25
PD;10929;CHIKARA 25 WG;26,25
PD;10931;EMME-H 60 WS;2,00
PD;10944;;173,25
PD;10944;KARATE ZEON;91,75
PD;10948;VITISAN WG;5,00
PD;10952;CARPOVIRUSINE PLUS;1,00
PD;10976;;1.338,02
PD;10976;METEOR;622,50
PD;10976;METEOR PFnPE;315,79
PD;10976;METEOR PFnPE 250 ml;4,25
PD;10976;METEOR PFnPE 30 ml;0,36
PD;10999;;292,00
PD;10999;BETANAL SE;395,00
PD;11011;;2.041,00
PD;11011;DASH HC;3.032,00
PD;11013;CiOPPER;10,00
PD;11040;POLTIGLIA BORDOLESE DISPERSS BLU;36,00
PD;11044;TUREX;12,00
PD;11059;;18,00
PD;11059;BIOPOWER;46,00
PD;11062;;0,50
PD;11062;BION 50 WG;22,00
PD;11070;;23.295,00
PD;11088;;23,00
PD;11088;BION MX;5,00
PD;11102;;10,00
PD;11102;HELIOSOUFRE S;930,00
PD;11107;ECO-TRAP;217,00
PD;11119;;4,50
PD;11119;FLINT;171,00
PD;11133;SHELTER;197,00
PD;11165;POLAK;13,00
PD;11173;;385,00
PD;11173;AVAUNT EC;693,00
