Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
PD;3800;CRITTAM WG x 20 kg;120,00;;
PD;3800;CRITTAM WG x 1 kg;114,00;;
PD;3859;DURSBAN;353,00;;
PD;3861;ROTIOFEN GOLD x 1 lt;15,00;;
PD;4012;RELDAN 22;1.232,50;;
PD;4012;RELDAN 22 x 1 lt;119,00;;
PD;4012;RELDAN 22 x 0,250 lt;106,75;;
PD;4012;RELDAN 22 x 5 lt;35,00;;
PD;4012;RELDAN 22 LT 1;9,00;;
PD;4012;RELDAN 22 X 1;9,00;;
PD;4190;TETRASOL 80;10,00;;
PD;4199;PENNCOZEB DG;12.057,00;;
PD;4199;PENNCOZEB DG x 20 kg;800,00;;
PD;4199;PENNCOZEB DG x 10 Kg;720,00;;
PD;4199;PENNCOZEB DG x 25 kg;25,00;;
PD;4199;PENNCOZEB DG x 1 kg;6,00;;
PD;4228;ROGOR 400 ST x 1 lt;693,00;;
PD;4228;ROGOR 400 ST;202,00;;
PD;4228;ROGOR L 20;14,00;;
PD;4326;ROGOR L 40 ST;68,00;;
PD;4326;ROGOR L 40 ST x 1 lt;23,00;;
PD;4426;DECIS;9,00;;
PD;4461;IMIDAN WDG;10,00;;
PD;4552;DITHANE DG NEOTEC;2.219,00;;
PD;4552;DITHANE DG NEOTEC *;130,00;;
PD;4552;DITHANE DG NEOTEC  X 10;20,00;;
PD;4710;ALIETTE;140,45;;
PD;4710;BAYER ALIETTE 250 GR;49,00;;
PD;4710;ALIETTE 1 KG;8,00;;
PD;4710;ALIETTE x 6 kg;6,00;;
PD;4710;ALIETTE 250 GR;3,00;;
PD;4710;ALIETTE x 1 kg;1,00;;
PD;4896;RIGENAL P;1,70;;
PD;5152;TIOSPOR WG;2.135,00;;
PD;5152;TIOSPOR  WG x Kg 1;35,00;;
PD;5154;ARPEL TRIPLO BLU;4,00;;
PD;5228;CARAKOL;1.240,50;;
PD;5299;MIBIOL;569,25;;
PD;5299;MIBIOIL;4,50;;
PD;5299;ZAPI MIBIOL COCCINIGLIA INV. 500 ML;3,00;;
PD;5467;METADENE;68,00;;
PD;5467;METADENE 1 KG;3,00;;
PD;5574;LUMAKIDIN 5G;183,50;;
PD;5574;LUMAKIDIN 5G KG 1;19,00;;
PD;5576;KOLFLOR OLIO B;75,00;;
PD;5755;TILT 25 EC;66,50;;
PD;5755;TILT 25 EC x 0,5 lt;14,75;;
PD;5796;GARLON;9,50;;
PD;6136;GERMON L;47,30;;
PD;6136;GERMON L (TALEE LE) L x 100 ml;0,01;;
PD;6221;IPIRON 45 SC;20,00;;
PD;6277;VYDATE 5G;50,00;;
PD;6321;STIMOLANTE 66F;11,42;;
PD;6321;STIMOL 66 F x 1 lt;1,80;;
PD;6322;OBSTHORMON 24A;23,00;;
PD;6322;OBSTHORMON 24 A;1,00;;
PD;6324;MAXCEL 2 SL x 2 lt;6,00;;
PD;6376;SCHAUMSTOP;0,60;;
PD;6401;MONDAK 21 S;117,00;;
PD;6401;MONDAK 21 S  x 1;1,00;;
PD;6428;GOAL 2XL;2,00;;
PD;6437;ETHREL;41,00;;
PD;6555;K-OBIOL ULV 6;36.645,00;;
PD;6556;K-OBIOL DP2;1.907,00;;
PD;6556;K-OBIOL DP2 x 1 kg;175,00;;
PD;6557;K-OBIOL EC 25;3.311,00;;
PD;6557;K-OBIOL EC 25 X 1;7,00;;
PD;6632;BAGNANTE AGRICOLO;7,00;;
PD;6674;AFALON DS;1.364,00;;
PD;6674;AFALON DS x 1 lt;191,00;;
PD;6704;TIOLENE 80 WG;4.003,00;;
PD;6738;GLEAN 75 DF;0,15;;
PD;6766;BUTISAN S;62,00;;
PD;6766;BUTISAN S x 1 lt;2,00;;
PD;6834;TEPETA COMBI;40,00;;
PD;6873;IDRORAME 193;122,00;;
